City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,2023-06-10 21:46:11
68,guane,22.2025,-84.0875,29.89,67,54,2.23,CU,2023-06-10 21:46:11
69,tual,-5.6667,132.75,27.22,77,49,10.05,ID,2023-06-10 21:46:12
70,bandarbeyla,9.4942,50.8122,25.91,86,98,12.94,SO,2023-06-10 21:46:12
71,briare,47.6334,2.7438,20.31,87,67,0.45,FR,2023-06-10 21:46:12
72,praia da vitoria,38.7333,-27.0667,20.14,64,20,6.45,PT,2023-06-10 21:46:12
73,cartagena,10.3997,-75.5144,24.79,100,75,2.06,CO,2023-06-10 21:45:36
74,yen vinh,18.6667,105.6667,25.66,85,99,1.81,VN,2023-06-10 21:46:12
75,krasnokamensk,50.0979,118.0369,13.87,85,33,1.49,RU,2023-06-10 21:46:12
76,bethel,41.3712,-73.414,25.01,47,20,3.6,US,2023-06-10 21:46:12
77,tiksi,71.6872,128.8694,3.11,74,43,3.33,RU,2023-06-10 21:46:13
78,bredasdorp,-34.5322,20.0403,11.29,82,6,1.48,ZA,2023-06-10 21:46:13
79,cabo san lucas,22.8909,-109.9124,34.61,35,0,5.14,MX,2023-06-10 21:44:04
80,kavaratti,10.5669,72.642,29.38,75,100,10.51,IN,2023-06-10 21:46:13
81,talakan,50.3167,130.3667,17.05,90,14,0.84,RU,2023-06-10 21:46:13
82,avarua,-21.2078,-159.775,27.03,74,0,2.57,CK,2023-06-10 21:46:13
83,charlottetown,46.2352,-63.1267,10.31,95,100,4.12,CA,2023-06-10 21:31:54
84,lucapa,-8.4192,20.7447,24.86,45,100,1.05,AO,2023-06-10 21:46:13
85,cadillac,44.2519,-85.4012,23.77,40,100,3.6,US,2023-06-10 21:46:14
86,katsuren-haebaru,26.3369,127.8719,27.21,100,75,2.06,JP,2023-06-10 21:46:14
87,ar ruways,24.1103,52.7306,30.49,66,25,2.55,AE,2023-06-10 21:46:14
88,puerto escondido,15.85,-97.0667,33.46,66,40,4.63,MX,2023-06-10 21:46:14
89,hermanus,-34.4187,19.2345,13.91,72,8,1.66,ZA,2023-06-10 21:46:14
90,la passe,45.5549,-0.8967,20.13,91,6,3.45,FR,2023-06-10 21:46:14
91,talnakh,69.4865,88.3972,4.72,59,14,0.89,RU,2023-06-10 21:46:14
92,sao joao da barra,-21.6403,-41.0511,22.05,88,0,5.59,BR,2023-06-10 21:46:14
93,mahdia,35.5047,11.0622,21.97,85,71,4.54,TN,2023-06-10 21:46:14
94,sandnessjoen,66.0217,12.6316,12.29,73,55,3.49,NO,2023-06-10 21:46:15
95,bahcecik,40.6673,29.9149,13.59,100,40,0.51,TR,2023-06-10 21:46:15
96,dubbo,-32.25,148.6167,1.07,100,0,3.09,AU,2023-06-10 21:46:15
97,laguna,38.421,-121.4238,28.57,45,0,4.63,US,2023-06-10 21:46:15
98,atafu village,-8.5421,-172.5159,28.43,79,99,5.34,TK,2023-06-10 21:46:15
99,korenevo,55.6719,38.0078,10.45,57,0,3.0,RU,2023-06-10 21:46:15
100,midvagur,62.0511,-7.1939,11.46,93,100,2.06,FO,2023-06-10 21:46:15
101,malindi,-3.2175,40.1191,27.09,78,20,4.12,KE,2023-06-10 21:46:16
102,karagandy,49.8019,73.1021,6.97,58,4,3.46,KZ,2023-06-10 21:46:16
103,iskateley,67.6803,53.1512,1.9,84,56,8.02,RU,2023-06-10 21:46:16
104,east london,-33.0153,27.9116,14.55,69,0,3.85,ZA,2023-06-10 21:46:16
105,al wajh,26.2455,36.4525,28.97,79,0,3.6,SA,2023-06-10 21:46:16
106,udachny,66.4167,112.4,11.36,100,91,1.28,RU,2023-06-10 21:46:16
107,summerside,46.3959,-63.7876,10.26,93,98,3.6,CA,2023-06-10 21:44:26
108,sao joao dos patos,-6.495,-43.7022,27.25,51,16,2.86,BR,2023-06-10 21:46:16
109,san salvador,13.6894,-89.1872,29.37,77,20,3.6,SV,2023-06-10 21:46:17
110,puerto ayora,-0.7393,-90.3518,28.98,91,95,3.58,EC,2023-06-10 21:46:17
111,taoudenni,22.6783,-3.9836,36.35,13,0,5.34,ML,2023-06-10 21:46:17
112,olonkinbyen,70.9221,-8.7187,1.05,91,100,6.03,SJ,2023-06-10 21:41:38
113,yichang,30.7144,111.2847,24.68,75,100,1.72,CN,2023-06-10 21:46:17
114,acapulco de juarez,16.8634,-99.8901,31.9,62,75,5.14,MX,2023-06-10 21:43:40
115,kailua-kona,19.6406,-155.9956,29.04,79,40,4.12,US,2023-06-10 21:46:17
116,ola,59.5833,151.2833,13.97,82,39,2.42,RU,2023-06-10 21:46:17
117,naryn,41.4287,75.9911,14.32,51,49,2.06,KG,2023-06-10 21:46:17
118,lesogorsk,56.0458,99.5136,13.57,95,100,2.32,RU,2023-06-10 21:46:18
119,burao,9.5221,45.5336,25.04,54,64,6.9,SO,2023-06-10 21:46:18
120,benguela,-12.5763,13.4055,20.35,89,47,0.85,AO,2023-06-10 21:46:18
121,vanimo,-2.6741,141.3028,25.7,88,94,2.05,PG,2023-06-10 21:46:18
122,punta arenas,-53.15,-70.9167,5.06,81,75,11.83,CL,2023-06-10 21:44:18
123,nuuk,64.1835,-51.7216,11.34,32,100,23.66,GL,2023-06-10 21:46:18
124,newman,37.3138,-121.0208,29.45,10,100,1.76,US,2023-06-10 21:43:37
125,weno,7.4515,151.8468,25.97,94,100,3.6,FM,2023-06-10 21:46:18
126,anadyr,64.75,177.4833,5.28,75,75,7.0,RU,2023-06-10 21:46:18
127,lebu,-37.6167,-73.65,9.18,69,14,6.39,CL,2023-06-10 21:46:19
128,tondano,1.3038,124.9112,20.05,91,89,0.61,ID,2023-06-10 21:46:19
129,dryden,49.7833,-92.7503,17.16,45,0,6.17,CA,2023-06-10 21:42:02
130,tacna,-18.0056,-70.2483,17.11,68,75,4.63,PE,2023-06-10 21:46:19
131,bodaybo,57.8506,114.1933,18.7,63,89,0.78,RU,2023-06-10 21:46:19
132,general mosconi,-23.1851,-62.303,25.1,67,100,3.45,AR,2023-06-10 21:46:19
133,fortaleza,-3.7227,-38.5247,28.07,74,0,3.6,BR,2023-06-10 21:46:19
134,thomson,33.4707,-82.5046,31.01,40,0,2.57,US,2023-06-10 21:46:19
135,taltal,-25.4,-70.4833,16.28,86,36,1.98,CL,2023-06-10 21:46:19
136,nova vicosa,-17.8919,-39.3719,23.2,85,10,4.05,BR,2023-06-10 21:41:50
137,sinop,41.7711,34.8709,14.39,82,3,2.38,TR,2023-06-10 21:46:20
138,thompson,55.7435,-97.8558,23.09,23,20,6.17,CA,2023-06-10 21:46:20
139,zhanjiang,21.2815,110.3427,26.23,88,97,2.38,CN,2023-06-10 21:46:20
140,makoua,0.0069,15.6333,23.67,81,98,0.99,CG,2023-06-10 21:46:20
141,bryne,58.7354,5.6477,15.69,75,0,0.0,NO,2023-06-10 21:46:20
142,mar del plata,-38.0023,-57.5575,8.01,87,40,8.23,AR,2023-06-10 21:46:20
143,college,64.8569,-147.8028,21.37,41,75,3.09,US,2023-06-10 21:46:20
144,langsa,4.4683,97.9683,24.06,96,100,0.84,ID,2023-06-10 21:46:21
145,punta del este,-34.9667,-54.95,13.31,60,0,8.49,UY,2023-06-10 21:43:34
146,ikot ekpene,5.1794,7.7108,23.37,95,97,1.88,NG,2023-06-10 21:46:21
147,dhuusamarreeb,5.535,46.3861,26.06,64,98,9.01,SO,2023-06-10 21:46:21
148,colonia,50.9333,6.95,23.25,54,0,2.57,DE,2023-06-10 21:46:21
149,camana,-16.6228,-72.7111,18.33,77,55,3.32,PE,2023-06-10 21:46:21
150,coari,-4.085,-63.1414,26.9,80,95,0.9,BR,2023-06-10 21:46:21
151,pozanti,37.4278,34.8717,17.75,81,68,0.66,TR,2023-06-10 21:46:21
152,ust-nera,64.5667,143.2,15.72,59,98,2.77,RU,2023-06-10 21:46:21
153,isla vista,34.4133,-119.861,20.14,79,100,0.0,US,2023-06-10 21:46:22
154,guerrero negro,27.9769,-114.0611,20.43,57,54,7.74,MX,2023-06-10 21:46:22
155,debre sina,9.85,39.7667,14.95,56,93,1.9,ET,2023-06-10 21:46:22
156,troitsko-pechorsk,62.7084,56.1964,2.79,82,91,4.46,RU,2023-06-10 21:46:22
157,kinkala,-4.3614,14.7644,22.16,92,83,1.13,CG,2023-06-10 21:46:22
158,maun,-19.9833,23.4167,17.98,29,0,2.57,BW,2023-06-10 21:46:22
159,lihue,21.9789,-159.3672,27.77,69,75,5.66,US,2023-06-10 21:46:22
160,flying fish cove,-10.4217,105.6791,23.82,100,100,5.14,CX,2023-06-10 21:46:22
161,papatowai,-46.5619,169.4708,8.41,77,96,1.7,NZ,2023-06-10 21:46:22
162,keflavik,64.0049,-22.5624,8.24,71,75,7.2,IS,2023-06-10 21:46:23
163,okhotsk,59.3833,143.3,9.42,81,28,1.67,RU,2023-06-10 21:46:23
164,karatuzskoye,53.6072,92.8667,16.76,99,100,2.14,RU,2023-06-10 21:46:23
165,port elizabeth,-33.918,25.5701,12.16,87,40,0.0,ZA,2023-06-10 21:46:23
166,turaif,31.6725,38.6637,25.14,33,0,6.17,SA,2023-06-10 21:45:53
167,mount gambier,-37.8333,140.7667,10.16,91,75,3.17,AU,2023-06-10 21:46:23
168,hamilton,39.1834,-84.5333,29.89,32,0,4.12,US,2023-06-10 21:45:45
169,hithadhoo,-0.6,73.0833,27.92,76,16,2.94,MV,2023-06-10 21:46:23
170,bedugul,-8.2847,115.1606,17.29,95,79,1.16,ID,2023-06-10 21:46:24
171,george town,5.4112,100.3354,27.97,81,40,3.09,MY,2023-06-10 21:46:24
172,beichengqu,40.4394,113.1536,13.68,47,7,2.7,CN,2023-06-10 21:46:24
173,susuman,62.7833,148.1667,15.79,58,85,2.04,RU,2023-06-10 21:46:24
174,banda aceh,5.5577,95.3222,27.44,73,99,4.97,ID,2023-06-10 21:46:24
175,cassilandia,-19.1133,-51.7342,24.01,43,40,1.33,BR,2023-06-10 21:46:24
176,yashkul',46.1711,45.3435,23.36,47,89,7.07,RU,2023-06-10 21:46:24
177,karratha,-20.7377,116.8463,20.01,52,32,2.64,AU,2023-06-10 21:41:38
178,jesus maria,-30.9815,-64.0942,11.95,38,22,4.25,AR,2023-06-10 21:46:25
